symbol,industry
EMCURE,Pharmaceuticals
EMIL,Diversified Retail
EMKAY,Stockbroking & Allied
EMKAYTOOLS,Unknown
EMMBI,Packaging
EMMIL,Unknown
EMMVEE,Unknown
EMSLIMITED,Waste Management
EMUDHRA,IT Enabled Services
EMULTIMQ,ETF
ENCOMPAS,Unknown
ENDURANCE,Auto Components & Equipments
ENERGY,Unknown
ENERGYDEV,Power Generation
ENFUSE,Unknown
ENGINERSIN,Civil Construction
ENIFTY,Unknown
ENIL,Media & Entertainment
ENRIN,Heavy Electrical Equipment
ENSER,Unknown
ENTERO,Pharmacy Retail
ENVIRO,Unknown
EPACK,Household Appliances
EPACKPEB,Unknown
EPIGRAL,Specialty Chemicals
EPL,Packaging
EQUAL200,ETF
EQUAL50,ETF
EQUAL50ADD,ETF
EQUIPPP,Unknown
EQUITASBNK,Other Bank
ERIS,Pharmaceuticals
ESABINDIA,Other Industrial Products
ESAFSFB,Other Bank
ESCONET,Unknown
ESCORTS,Tractors
ESENSEX,Unknown
ESFL,Unknown
ESG,ETF
ESILVER,ETF
ESSARSHPNG,Shipping
ESSENTIA,Trading & Distributors
ESTER,Packaging
ETERNAL,E-Retail/ E-Commerce
ETHOSLTD,"Gems, Jewellery And Watches"
ETL,Unknown
ETML,Unknown
EUREKAFORB,Household Appliances
EUROBOND,"Aluminium, Copper & Zinc Products"
EUROPRATIK,Unknown
EUROTEXIND,Other Textile Products
EVEREADY,Household Products
EVERESTIND,Other Construction Materials
EVIETF,ETF
EVINDIA,ETF
EXCEL,Trading & Distributors
EXCELINDUS,Specialty Chemicals
EXCELLENT,Unknown
EXCELSOFT,Unknown
EXICOM,Heavy Electrical Equipment
EXIDEIND,Auto Components & Equipments
EXPLEOSOL,IT Enabled Services
EXXARO,Ceramics
FABTECH,Unknown
FACT,Fertilizers
FAIRCHEMOR,Specialty Chemicals
FALCONTECH,Unknown
FAZE3Q,Other Textile Products
FCL,Specialty Chemicals
FCONSUMER,Unknown
FCSSOFT,IT Enabled Services
FDC,Pharmaceuticals
FEDERALBNK,Private Sector Bank
FEDFINA,Non Banking Financial Company (NBFC)
FELIX,Unknown
FIBERWEB,Other Textile Products
FIDEL,Unknown
FIEMIND,Auto Components & Equipments
FILATEX,Other Textile Products
FILATFASH,Garments & Apparels
FINBUD,Unknown
FINCABLES,Cables - Electricals
FINEORG,Specialty Chemicals
FINIETF,ETF
FINKURVE,Unknown
FINOPB,Other Bank
FINPIPE,Plastic Products - Industrial
FIRSTCRY,E-Retail/ E-Commerce
FISCHER,Medical Equipment & Supplies
FIVESTAR,Non Banking Financial Company (NBFC)
FLAIR,Stationary
FLEXIADD,Unknown
FLEXITUFF,Unknown
FLUOROCHEM,Specialty Chemicals
FLYSBS,Unknown
FMCGIETF,ETF
FMGOETZE,Auto Components & Equipments
FMNL,Diversified Commercial Services
FOCUS,Consumer Electronics
FONEBOX,Unknown
FOODSIN,Packaged Foods
FORCAS,Unknown
FORCEMOT,Passenger Cars & Utility Vehicles
FORGEAUTO,Unknown
FORTIS,Hospital
FOSECOIND,Specialty Chemicals
FRESHARA,Unknown
FROG,Unknown
FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
FUSION,Microfinance Institutions
FWSTC,Unknown
GABRIEL,Auto Components & Equipments
GAEL,Other Agricultural Products
GAIL,Gas Transmission/Marketing
GAJANAND,Unknown
GALAPREC,Industrial Products
GALAXYSURF,Specialty Chemicals
GALLANTT,Iron & Steel Products
GANDHAR,Lubricants
GANDHITUBE,Iron & Steel Products
GANECOS,Other Textile Products
GANESHBE,Oil Storage & Transportation
GANESHCP,Unknown
GANESHHOU,Unknown
GANESHIN,Unknown
GANGABATH,Unknown
GANGAFORGE,Castings & Forgings
GANGESSECU,Tea & Coffee
GARFIBRES,Other Textile Products
GARUDA,Civil Construction
GATECH,Other Financial Services
GATECHDVR,Other Financial Services
GATEWAY,Logistics Solution Provider
GAYAHWS,"Road AssetsToll, Annuity, Hybrid-Annuity"
GCHOTELS,Unknown
GCSL,Unknown
GEECEE,"Residential, Commercial Projects"
GEEKAYWIRE,Other Electrical Equipment
GEMAROMA,Unknown
GENCON,"Residential, Commercial Projects"
GENESYS,IT Enabled Services
GENUSPAPER,Paper & Paper Products
GENUSPOWER,Other Electrical Equipment
GEOJITFSL,Stockbroking & Allied
GESHIP,Shipping
GFLLIMITED,Holding Company
GFSTEELS,Unknown
GGBL,Unknown
GHCL,Commodity Chemicals
GHCLTEXTIL,Other Textile Products
GICHSGFIN,Housing Finance Company
GICL,Unknown
GICRE,General Insurance
GILLANDERS,Tea & Coffee
GILLETTE,Personal Care
GILT5YBEES,ETF
GINNIFILA,Other Textile Products
GIPCL,Power Generation
GIRIRAJ,Unknown
GKENERGY,Unknown
